DOI / Referência,Tipo de Resíduo,Origem / País,"Processamento (triturado, moído, fibra etc,)",Equação de Resilient Modulus,ID da Amostra,LL (%),PL (%),IP (%),Finos (%), MDD (kN/m³),OMC (%),CBR (%),Expansão (%),AASHTO,Tensão de Confinamento (mPa),Tensão Desviadora (mPa),Número de Ciclos de Carga,K1,K2,K3,R²,MR (mPa),Deformação Permanente (μℰ),Deformação Permanente Final (μℰ),DP (%),"Aplicação sugerida (subleito, sub-base, base)",Observações
"10,1080/10298436,2021,1916837",RCD,Turquia,Triturado,-,50NA 50RCA2,"28,98",NP,NP,-,-,-,"45,67",-,Misto,,,-,-,-,-,-,-,-,-,-,-,
"10,1080/10298436,2021,1916838",RCD,Turquia,Triturado,-,50NA 50RCA3,"27,99",NP,NP,-,-,-,"40,23",-,Misto,,,-,-,-,-,-,-,-,-,-,-,
"10,1080/10298436,2021,1916839",RCD,Turquia,Triturado,-,25NA 75RCA1,"27,42",NP,NP,-,-,-,"92,69",-,Misto,,,-,-,-,-,-,107,-,-,-,-,
"10,1080/10298436,2021,1916840",RCD,Turquia,Triturado,-,25NA 75RCA2,"27,42",NP,NP,-,-,-,"92,69",-,Misto,,,-,-,-,-,-,140,-,-,-,-,
"10,1080/10298436,2021,1916841",RCD,Turquia,Triturado,-,25NA 75RCA3,"27,42",NP,NP,-,-,-,"92,69",-,Misto,,,-,-,-,-,-,208,-,-,-,-,
"10,1080/10298436,2021,1916842",RCD,Turquia,Triturado,-,25NA 75RCA2,"28,12",NP,NP,-,-,-,"78,34",-,Misto,,,-,-,-,-,-,-,-,-,-,-,
"10,1080/10298436,2021,1916843",RCD,Turquia,Triturado,-,25NA 75RCA3,"28,49",NP,NP,-,-,-,"65,12",-,Misto,,,-,-,-,-,-,-,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101578,RCD,EUA,Triturado,Modelo de Witczak,RCA_1,-,-,-,-,"18,2","0,0*",-,-,A-1-a,,,-,1542,"0,65","-0,26","0,94",223,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101579,RCD,EUA,Triturado,Modelo de Witczak,RCA_1,-,-,-,-,,,-,-,A-1-a,,,-,1262,"0,75","-0,16","0,9",205,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101580,RCD,EUA,Triturado,Modelo de Witczak,RCA_2,-,-,-,-,21,"9,8",-,-,A-1-a,,,-,2204,"0,6","-0,1","0,94",309,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101581,RCD,EUA,Triturado,Modelo de Witczak,RCA_2,-,-,-,-,,,-,-,A-1-a,,,-,1963,"0,66","-0,11","0,94",326,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101582,RCD,EUA,Triturado,Modelo de Witczak,RCA_3,-,-,-,-,"15,8","0,0*",-,-,A-1-a,,,-,1548,"0,63","-0,26","0,92",161,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101583,RCD,EUA,Triturado,Modelo de Witczak,RCA_3,-,-,-,-,,,-,-,A-1-a,,,-,1533,"0,75","-0,11","0,97",199,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101584,RCD,EUA,Triturado,Modelo de Witczak,RCA_4,-,-,-,-,"20,5","9,3",-,-,A-1-a,,,-,1096,"0,72","-0,18","0,94",169,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101585,RCD,EUA,Triturado,Modelo de Witczak,RCA_4,-,-,-,-,,,-,-,A-1-a,,,-,1700,"0,81","-0,66","0,94",330,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101586,RCD,EUA,Triturado,Modelo de Witczak,RCA_5,-,-,-,-,"21,1","9,4",-,-,A-1-a,,,-,1897,"0,83","-0,66","0,96",268,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101587,RCD,EUA,Triturado,Modelo de Witczak,RCA_5,-,-,-,-,,,-,-,A-1-a,,,-,2617,"0,56","-0,12","0,95",395,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101588,RCD,EUA,Triturado,Modelo de Witczak,RCA_6,-,-,-,-,21,"8,4",-,-,A-1-a,,,-,2101,"0,65","-0,35","0,96",244,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101589,RCD,EUA,Triturado,Modelo de Witczak,RCA_6,-,-,-,-,,,-,-,A-1-a,,,-,2038,"0,65","-0,26","0,88",329,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101590,RCD,EUA,Triturado,Modelo de Witczak,RCA_7,-,-,-,-,"20,5","10,2",-,-,A-1-a,,,-,1825,"0,65","-0,11","0,9",206,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101591,RCD,EUA,Triturado,Modelo de Witczak,RCA_7,-,-,-,-,,,-,-,A-1-a,,,-,1415,"0,87","-0,63","0,97",236,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101592,RCD,EUA,Triturado,Modelo de Witczak,RCA_8,-,-,-,-,"20,2",11,-,-,A-1-a,,,-,1579,"0,89","-0,63","0,96",238,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101593,RCD,EUA,Triturado,Modelo de Witczak,RCA_8,-,-,-,-,,,-,-,A-1-a,,,-,2100,"0,76","-0,45","0,98",407,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101594,RCD,EUA,Triturado,Modelo de Witczak,RCA_9,-,-,-,-,"21,2","8,6",-,-,A-1-a,,,-,2209,"0,62","-0,11","0,94",303,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101595,RCD,EUA,Triturado,Modelo de Witczak,RCA_9,-,-,-,-,,,-,-,A-1-a,,,-,1881,"0,69","-0,14","0,94",303,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101596,RCD,EUA,Triturado,Modelo de Witczak,RCA_10,-,-,-,-,"20,1","10,9",-,-,A-1-a,,,-,1808,"0,63","-0,13","0,92",238,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101597,RCD,EUA,Triturado,Modelo de Witczak,RCA_10,-,-,-,-,,,-,-,A-1-a,,,-,1844,"0,66","-0,48","0,95",240,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101598,RCD,EUA,Triturado,Modelo de Witczak,RCA_11,-,-,-,-,"20,8","8,2",-,-,A-1-a,,,-,1619,"0,86","-0,5","0,97",213,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101599,RCD,EUA,Triturado,Modelo de Witczak,RCA_11,-,-,-,-,,,-,-,A-1-a,,,-,1339,"0,7","-0,08","0,86",216,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101600,RCD,EUA,Triturado,Modelo de Witczak,RCA_12,-,-,-,-,21,"9,4",-,-,A-1-a,,,-,1339,"0,76","-0,12","0,95",200,-,-,-,-,
https://doi.org/10.1016/j.trgeo.2025.101601,RCD,EUA,Triturado,Modelo de Witczak,RCA_12,-,-,-,-,,,-,-,A-1-a,,,-,1361,"1,06","-0,96","0,92",210,-,-,-,-,
https://doi.org/10.1617/s11527-018-1219-7 ,VIDRO,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.06,MG20-100%FL,-,-,-,2,2339,"5,5",-,-,-,"0,103","0,103",1000,-,-,-,-,414,-,-,-,Base,
https://doi.org/10.1617/s11527-018-1219-8,VIDRO,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.07,MG20-25%RG/75%FL,-,-,-,2,2258,"5,9",-,-,-,"0,021","0,021",100,-,-,-,-,83,-,-,-,Base/Sub-base,
https://doi.org/10.1617/s11527-018-1219-9,VIDRO,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.08,MG20-25%RG/75%FL,-,-,-,2,2258,"5,9",-,-,-,"0,021","0,041",100,-,-,-,-,104,-,-,-,Base/Sub-base,
https://doi.org/10.1617/s11527-018-1219-10,VIDRO,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.09,MG20-50%RG/50%FL,-,-,-,"1,9",2213,"6,3",-,-,-,"0,021","0,062",100,-,-,-,-,124,-,-,-,Base/Sub-base,
https://doi.org/10.1617/s11527-018-1219-11,VIDRO,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.10,MG20-50%RG/50%FL,-,-,-,"1,9",2213,"6,3",-,-,-,"0,035","0,035",100,-,-,-,-,138,-,-,-,Base/Sub-base,
https://doi.org/10.1617/s11527-018-1219-12,VIDRO,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.11,MG20-75%RG/25%FL,-,-,-,"1,9",2189,"6,7",-,-,-,"0,035","0,069",100,-,-,-,-,172,-,-,-,Base/Sub-base,
https://doi.org/10.1617/s11527-018-1219-13,VIDRO,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.12,MG20-75%RG/25%FL,-,-,-,"1,9",2189,"6,7",-,-,-,"0,069","0,138",100,-,-,-,-,345,-,-,-,Base/Sub-base,
